source;target;interaction;directed;
I579;0;9;YANLIŞ;
I579;1;9;YANLIŞ;
I579;2;9;YANLIŞ;
I579;3;9;YANLIŞ;
I579;4;9;YANLIŞ;
I579;5;9;YANLIŞ;
I579;6;9;YANLIŞ;
I579;7;9;YANLIŞ;
I579;8;7;YANLIŞ;
I579;9;7;YANLIŞ;
I579;10;7;YANLIŞ;
I579;11;7;YANLIŞ;
I579;12;7;YANLIŞ;
I579;13;7;YANLIŞ;
I579;14;7;YANLIŞ;
I579;15;7;YANLIŞ;
I579;16;7;YANLIŞ;
I579;17;7;YANLIŞ;
I579;18;7;YANLIŞ;
I579;19;7;YANLIŞ;
I579;20;8;YANLIŞ;
I579;21;8;YANLIŞ;
I579;22;8;YANLIŞ;
I579;23;8;YANLIŞ;
I579;24;8;YANLIŞ;
I579;25;8;YANLIŞ;
I579;26;8;YANLIŞ;
I579;27;8;YANLIŞ;
I579;28;8;YANLIŞ;
I579;29;8;YANLIŞ;
I579;30;18;YANLIŞ;
I579;31;18;YANLIŞ;
I579;32;18;YANLIŞ;
I579;33;18;YANLIŞ;
I579;34;18;YANLIŞ;
I579;35;18;YANLIŞ;
I579;36;18;YANLIŞ;
I579;37;15;YANLIŞ;
I579;38;15;YANLIŞ;
I579;39;15;YANLIŞ;
I579;40;15;YANLIŞ;
I579;41;15;YANLIŞ;
I579;42;15;YANLIŞ;
I579;43;15;YANLIŞ;
I579;44;15;YANLIŞ;
I579;45;15;YANLIŞ;
I579;46;15;YANLIŞ;
I579;47;15;YANLIŞ;
I579;48;15;YANLIŞ;
I579;49;15;YANLIŞ;
I579;50;15;YANLIŞ;
I579;51;15;YANLIŞ;
I579;52;15;YANLIŞ;
I579;53;15;YANLIŞ;
I577;54;7;YANLIŞ;
I577;55;7;YANLIŞ;
I577;56;7;YANLIŞ;
I577;57;7;YANLIŞ;
I577;58;7;YANLIŞ;
I577;59;7;YANLIŞ;
I577;60;7;YANLIŞ;
I577;61;7;YANLIŞ;
I577;62;7;YANLIŞ;
I577;63;7;YANLIŞ;
I577;64;7;YANLIŞ;
I577;65;7;YANLIŞ;
I577;66;7;YANLIŞ;
I577;67;7;YANLIŞ;
I577;68;7;YANLIŞ;
I577;69;7;YANLIŞ;
I577;70;7;YANLIŞ;
I577;71;7;YANLIŞ;
I577;72;7;YANLIŞ;
I577;73;7;YANLIŞ;
I577;74;7;YANLIŞ;
I577;75;7;YANLIŞ;
I577;76;7;YANLIŞ;
I577;77;7;YANLIŞ;
I577;78;7;YANLIŞ;
I577;79;7;YANLIŞ;
I577;80;7;YANLIŞ;
I577;81;7;YANLIŞ;
I577;82;7;YANLIŞ;
I577;83;7;YANLIŞ;
I577;84;11;YANLIŞ;
I577;85;11;YANLIŞ;
I577;86;11;YANLIŞ;
I577;87;11;YANLIŞ;
I577;88;11;YANLIŞ;
I577;89;11;YANLIŞ;
I576;I575;7;YANLIŞ;
I574;90;7;YANLIŞ;
I574;91;7;YANLIŞ;
I574;92;7;YANLIŞ;
I574;93;7;YANLIŞ;
I574;94;7;YANLIŞ;
I574;95;7;YANLIŞ;
I574;96;7;YANLIŞ;
I574;97;7;YANLIŞ;
I574;98;7;YANLIŞ;
I574;99;7;YANLIŞ;
I574;100;7;YANLIŞ;
I574;101;7;YANLIŞ;
I574;102;7;YANLIŞ;
I574;103;7;YANLIŞ;
I574;104;7;YANLIŞ;
I574;105;8;YANLIŞ;
I574;106;8;YANLIŞ;
I574;107;8;YANLIŞ;
I574;108;8;YANLIŞ;
I574;109;8;YANLIŞ;
I574;110;8;YANLIŞ;
I574;111;8;YANLIŞ;
I574;112;8;YANLIŞ;
I574;113;8;YANLIŞ;
I574;114;8;YANLIŞ;
I574;115;8;YANLIŞ;
I574;116;8;YANLIŞ;
I574;117;8;YANLIŞ;
I574;118;8;YANLIŞ;
I574;119;8;YANLIŞ;
I574;120;8;YANLIŞ;
I573;I572;7;YANLIŞ;
I573;I571;7;YANLIŞ;
I572;I571;7;YANLIŞ;
I568;121;7;YANLIŞ;
I568;122;7;YANLIŞ;
I568;123;7;YANLIŞ;
I568;124;7;YANLIŞ;
I568;125;7;YANLIŞ;
I568;126;7;YANLIŞ;
I568;127;7;YANLIŞ;
I568;128;7;YANLIŞ;
I568;129;7;YANLIŞ;
I568;130;7;YANLIŞ;
I568;131;7;YANLIŞ;
I568;132;8;YANLIŞ;
I568;133;8;YANLIŞ;
I568;134;8;YANLIŞ;
I568;135;8;YANLIŞ;
I568;136;8;YANLIŞ;
I568;137;8;YANLIŞ;
I567;138;7;YANLIŞ;
I567;139;7;YANLIŞ;
I567;140;7;YANLIŞ;
I567;141;7;YANLIŞ;
I567;142;7;YANLIŞ;
I567;143;7;YANLIŞ;
I567;144;7;YANLIŞ;
I567;145;7;YANLIŞ;
I567;146;7;YANLIŞ;
I567;147;8;YANLIŞ;
I567;148;8;YANLIŞ;
I567;149;8;YANLIŞ;
I567;150;8;YANLIŞ;
I567;151;8;YANLIŞ;
I567;152;8;YANLIŞ;
I567;153;8;YANLIŞ;
I567;154;8;YANLIŞ;
I567;155;8;YANLIŞ;
I567;156;8;YANLIŞ;
I567;157;8;YANLIŞ;
I567;158;8;YANLIŞ;
I567;159;8;YANLIŞ;
I567;160;11;YANLIŞ;
I567;161;11;YANLIŞ;
I567;162;6;YANLIŞ;
I566;163;9;YANLIŞ;
I566;164;7;YANLIŞ;
I566;165;7;YANLIŞ;
I566;166;7;YANLIŞ;
I566;167;7;YANLIŞ;
I566;168;7;YANLIŞ;
I566;169;7;YANLIŞ;
I566;170;7;YANLIŞ;
I566;171;7;YANLIŞ;
I566;172;7;YANLIŞ;
I566;173;8;YANLIŞ;
I566;174;8;YANLIŞ;
I566;175;8;YANLIŞ;
I566;176;8;YANLIŞ;
I566;177;8;YANLIŞ;
I566;178;8;YANLIŞ;
I566;179;8;YANLIŞ;
I566;180;8;YANLIŞ;
I566;181;8;YANLIŞ;
I566;182;8;YANLIŞ;
I566;183;8;YANLIŞ;
I566;184;8;YANLIŞ;
I566;185;8;YANLIŞ;
I566;186;8;YANLIŞ;
I566;187;8;YANLIŞ;
I566;188;8;YANLIŞ;
I565;189;7;YANLIŞ;
I565;190;7;YANLIŞ;
I565;191;7;YANLIŞ;
I565;192;7;YANLIŞ;
I565;193;7;YANLIŞ;
I565;194;7;YANLIŞ;
I565;195;7;YANLIŞ;
I565;196;7;YANLIŞ;
I565;197;7;YANLIŞ;
I565;198;7;YANLIŞ;
I565;199;8;YANLIŞ;
I565;200;8;YANLIŞ;
I565;201;8;YANLIŞ;
I565;202;8;YANLIŞ;
I565;203;8;YANLIŞ;
I565;204;8;YANLIŞ;
I565;205;8;YANLIŞ;
I565;206;8;YANLIŞ;
I565;207;8;YANLIŞ;
I565;208;8;YANLIŞ;
I565;209;8;YANLIŞ;
I565;210;8;YANLIŞ;
I565;211;11;YANLIŞ;
I565;212;11;YANLIŞ;
I564;213;7;YANLIŞ;
I564;214;7;YANLIŞ;
I564;215;7;YANLIŞ;
I564;216;7;YANLIŞ;
I564;217;7;YANLIŞ;
I564;218;7;YANLIŞ;
