announce_date,number_of_suspected_case_repoted_to_cdc,number_of_excluded_cases,number_of_abroad_positive_cases,number_of_local_positive_cases,number_of_positive_cases_from_panshi_ship,number_of_unknown_positive_cases,dead,recovery,hospital_quarantine_reported,note,reference
2022-05-23,10351305.0,8960960.0,12559.0,1374027.0,36.0,15.0,1436.0,,,"指揮中心統計，截至目前國內累計10,351,305例新型冠狀病毒肺炎相關通報(含8,960,960例排除)，其中1,386,640例確診，分別為12,559例境外移入，1,374,027本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中。2020年起累計1,436例COVID-19死亡病例，其中1,421例本土，個案居住縣市分布為新北市645例、臺北市451例、基隆市73例、桃園市42例、臺中市38例、彰化縣31例、高雄市24例、花蓮縣22例、新竹縣17例、屏東縣16例、臺東縣12例、臺南市10例、宜蘭縣9例、雲林縣8例、嘉義縣、苗栗縣及南投縣各6例、嘉義市及金門縣各2例、新竹市1例；另15例為境外移入。",https://www.cdc.gov.tw/Bulletin/Detail/5xoGhduE3ey0W0gqtJ7nQg?typeid=9
2022-05-22,10270540.0,8946704.0,12523.0,1307794.0,36.0,15.0,1396.0,,,"指揮中心統計，截至目前國內累計10,270,540例新型冠狀病毒肺炎相關通報(含8,946,704例排除)，其中1,320,371例確診，分別為12,523例境外移入，1,307,794本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中。2020年起累計1,396例COVID-19死亡病例，其中1,381例本土，個案居住縣市分布為新北市637例、臺北市443例、基隆市72例、桃園市40例、臺中市33例、彰化縣29例、高雄市21例、新竹縣17例、花蓮縣16例、屏東縣13例、臺東縣12例、臺南市10例、宜蘭縣9例、雲林縣8例、嘉義縣6例、苗栗縣及南投縣各5例、嘉義市及金門縣各2例、新竹市1例；另15例為境外移入。",https://www.cdc.gov.tw/Bulletin/Detail/vki4KwEYb93xVWNmCtEytQ?typeid=9
2022-05-21,10171178.0,8926804.0,12484.0,1228359.0,36.0,15.0,1343.0,,,"指揮中心統計，截至目前國內累計10,171,178例新型冠狀病毒肺炎相關通報(含8,926,804例排除)，其中1,240,897例確診，分別為12,484例境外移入，1,228,359本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中。2020年起累計1,343例COVID-19死亡病例，其中1,328例本土，個案居住縣市分布為新北市615例、臺北市435例、基隆市68例、桃園市37例、臺中市29例、彰化縣27例、高雄市21例、新竹縣15例、花蓮縣14例、屏東縣13例、臺東縣11例、臺南市及宜蘭縣各9例、雲林縣7例、嘉義縣6例、苗栗縣及南投縣各4例、嘉義市2例、新竹市及金門縣各1例；另15例為境外移入。",https://www.cdc.gov.tw/Bulletin/Detail/GF1iOA8AVPkWKR4u84S5-A?typeid=9
2022-05-20,10063654.0,8904378.0,12432.0,1143805.0,36.0,15.0,1284.0,,,"指揮中心統計，截至目前國內累計10,063,654例新型冠狀病毒肺炎相關通報(含8,904,378例排除)，其中1,156,291例確診，分別為12,432例境外移入，1,143,805本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中。2020年起累計1,284例COVID-19死亡病例，其中1,269例本土，個案居住縣市分布為新北市599例、臺北市417例、基隆市65例、桃園市37例、彰化縣24例、臺中市23例、新竹縣15例、高雄市及花蓮縣各14例、臺東縣11例、臺南市及屏東縣各9例、宜蘭縣及雲林縣各7例、嘉義縣6例、苗栗縣及南投縣各4例、嘉義市2例、新竹市及金門縣各1例；另15例為境外移入。",https://www.cdc.gov.tw/Bulletin/Detail/0TvFSfNRPX10jkps-aj6cQ?typeid=9
2022-05-19,9956206.0,8881632.0,12392.0,1058115.0,36.0,15.0,1235.0,,,"指揮中心統計，截至目前國內累計9,956,206例新型冠狀病毒肺炎相關通報(含8,881,632例排除)，其中1,070,561例確診，分別為12,392例境外移入、1,058,115例本土病例、36例敦睦艦隊、3例航空器感染，1例不明及14例調查中。2020年起累計1,235例COVID-19死亡病例，其中1,220例本土，個案居住縣市分布為新北市585例、臺北市405例、基隆市64例、桃園市36例、彰化縣23例、臺中市21例、新竹縣14例、高雄市13例、花蓮縣11例、屏東縣8例、宜蘭縣及臺南市各7例、雲林縣6例、臺東縣及嘉義縣各5例、南投縣4例、苗栗縣3例、新竹市、嘉義市及金門縣各1例；另15例為境外移入。",https://www.cdc.gov.tw/Bulletin/Detail/mjBp-P3_KWt7VDdgxPNAmA?typeid=9
2022-05-18,9841113.0,8857374.0,12345.0,968742.0,36.0,15.0,1176.0,,,"指揮中心統計，截至目前國內累計9,841,113例新型冠狀病毒肺炎相關通報(含8,857,374例排除)，其中981,141例確診，分別為12,345例境外移入、968,742例本土病例、36例敦睦艦隊、3例航空器感染、1例不明及14例調查中。2020年起累計1,176例COVID-19死亡病例，其中1,161例本土，個案居住縣市分布為新北市564例、臺北市392例、基隆市59例、桃園市36例、彰化縣21例、臺中市19例、新竹縣14例、花蓮縣9例、宜蘭縣8例、高雄市7例、雲林縣及屏東縣各6例、臺東縣及臺南市各5例、苗栗縣3例、南投縣及嘉義縣各2例，新竹市、嘉義市及金門縣各1例；另15例為境外移入。",https://www.cdc.gov.tw/Bulletin/Detail/rJ1hEq8Gs1LOUiOTamKDqQ?typeid=9
2022-05-17,9729489.0,8830935.0,12301.0,883704.0,36.0,15.0,1135.0,,,"指揮中心統計，截至目前國內累計9,729,489例新型冠狀病毒肺炎相關通報(含8,830,935例排除)，其中896,059例確診，分別為12,301例境外移入、883,704例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中。2020年起累計1,135例COVID-19死亡病例，其中1,120例本土，個案居住縣市分布為新北市542例、臺北市381例、基隆市57例、桃園市36例、彰化縣19例、臺中市17例、新竹縣14例、花蓮縣9例、宜蘭縣8例、高雄市、雲林縣及屏東縣各6例、臺東縣及臺南市各5例、苗栗縣3例，南投縣及嘉義縣各2例、新竹市及嘉義市各1例；另15例為境外移入。",https://www.cdc.gov.tw/Bulletin/Detail/1c0gQA9O1T3N8A91GCEdug?typeid=9
2022-05-16,9633462.0,8803188.0,12263.0,817940.0,36.0,15.0,1097.0,,,"指揮中心統計，截至目前國內累計9,633,462例新型冠狀病毒肺炎相關通報(含8,803,188例排除)，其中830,257例確診，分別為12,263例境外移入，817,940本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中。2020年起累計1,097例COVID-19死亡病例，其中1,082例本土，個案居住縣市分布為新北市526例、臺北市375例、基隆市54例、桃園市36例、彰化縣18例、新竹縣及臺中市各14例、宜蘭縣7例、高雄市及雲林縣各6例，花蓮縣5例、屏東縣、臺東縣及臺南市各4例、苗栗縣3例，南投縣及嘉義縣各2例，新竹市及嘉義市各1例；另15例為境外移入。",https://www.cdc.gov.tw/Bulletin/Detail/2A4ZmYyqdNNhKrWoHruLjg?typeid=9
2022-05-15,9558371.0,8786521.0,12206.0,756283.0,36.0,15.0,1068.0,,,"指揮中心統計，截至目前國內累計9,558,371例新型冠狀病毒肺炎相關通報(含8,786,521例排除)，其中768,543例確診，分別為12,206例境外移入、756,283例本土病例、36例敦睦艦隊、3例航空器感染、1例不明及14例調查中。2020年起累計1,068例COVID-19死亡病例，其中1,053例本土，個案居住縣市分布為新北市510例、臺北市370例、基隆市51例、桃園市36例、彰化縣18例、新竹縣及臺中市各14例、宜蘭縣7例、高雄市6例、花蓮縣5例、屏東縣及臺東縣各4例、苗栗縣、臺南市及雲林縣各3例、南投縣及嘉義縣各2例，新竹市1例；另15例為境外移入。",https://www.cdc.gov.tw/Bulletin/Detail/N5v6eHKTumDtGu3hCivbqQ?typeid=9
2022-05-14,9464171.0,8765184.0,12169.0,687601.0,36.0,15.0,1049.0,,,"指揮中心統計，截至目前國內累計9,464,191例新型冠狀病毒肺炎相關通報(含8,765,184例排除)，其中699,824例確診，分別為12,169例境外移入，687,601本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中。2020年起累計1,049例COVID-19死亡病例，其中1,034例本土，個案居住縣市分布為新北市503例、臺北市369例、基隆市46例、桃園市36例、彰化縣18例、新竹縣及臺中市各14例、宜蘭縣7例、花蓮縣及高雄市各5例、屏東縣4例、苗栗縣3例，雲林縣、南投縣、臺南市及臺東縣各2例，新竹市及嘉義縣各1例；另15例為境外移入。",https://www.cdc.gov.tw/Bulletin/Detail/yBC5mBhrk9oKmR-161MzKg?typeid=9
